N° C.,Extension,Autres n°,Appellation,Position,Pays,"Province  (Tỉnh, Thành Phố)",District (Huyện ou Thì xã),Commune  (Xã),Village  (Thôn),Localisation inv. 2009-,Localisation inv. 1923-1942,Support,Indice,Lignes,Langue,Dimensions de l'objet (h/l/p) en cm sauf autre mention,"Epoque (ère śaka, etc.)",Epoque (cal. julien),Estampage(s) EFEO,Estampage(s) BnF,Photos estampages EFEO,Photo(s) EFEO,Bibliographie principale (édition),Bibliographie secondaire,Notes,Légende,,
196,,,,,Vietnam,Bình Định,,,Tháp-mẫm,,"Tourane : 1, 13",Fragment d'inscription,A,1,,,,,n. 1126,,,,,,,,,
196,,,,,Vietnam,Bình Định,,,Tháp-mẫm,,"Tourane : 1, 13",Fragment d'inscription,B,1,,,,,n. 1126,,,,,,,,,
197,,,,,Vietnam,Quảng Nam,,,Phú-hanh-tây,,In situ,Inscription rupestre,,1,"sk., ch.",,1229,,n. 1153,,,,,,,,,
198,,,,,Vietnam,Quảng Nam,Duy Xuyên ,Duy Thu,Tĩnh Yên,Bảo Tàng Văn Hóa Sa Huỳnh-Champa Duy Xuyên,In situ,Dalle,ant.,2,ch.,,IXe,,n. 1154,,,,,"P. 285; P. 1918, 243.","Il ne s'agit pas d'un ""socle"" et la langue n'est pas sk. (Cœdès). C. a ignoré les mentions chez P. qui, effectivement, ne mentionne pas l'inscription.",,,
198,,,,,Vietnam,Quảng Nam,Duy Xuyên ,Duy Thu,Tĩnh Yên,Bảo Tàng Văn Hóa Sa Huỳnh-Champa Duy Xuyên,In situ,Dalle,lat.,2,ch.,,IXe,,n. 1154,,,,,"P. 285; P. 1918, 243.","Il ne s'agit pas d'un ""socle"" et la langue n'est pas sk. (Cœdès). C. a ignoré les mentions chez P. qui, effectivement, ne mentionne pas l'inscription.",,,
199,,,,,Vietnam,Quảng Nam,Tây Giang,Lăng,Zamớ,In situ,In situ à Samơ (poste de Garde Indochinoise chez les Kha Tu),4 inscriptions rupestres,,"2, 3, 7, 5",,,,VIIe,,,,,Wittayarat 2004-05.,,"Voir documentation dans le dossier qui se trouve dans la correspondance de la Conservation d'Annam et de Cochinchine, boite 13, fols. 475-485. ",,,
200,,,,Cour A,Vietnam,Quảng Nam,,,Mỹ Sơn,,Tourane,23 fragments d'inscription,,,"sk., ch.",,dates diverses,,n. 1186,,,,,,,,,
201,,,,,Vietnam,Quảng Nam,,,Mỹ Sơn,,,fragment de stèle,A,invoc.,?,,"XIIe-XIIIe ""saka",,n. 1207,,,,,,,,,
201,,,,,Vietnam,Quảng Nam,,,Mỹ Sơn,,,fragment de stèle,B,4,ch.,,"XIIe-XIIIe ""saka",,n. 1207,,,,,,,,,
202,,,,,Vietnam,Quảng Nam,,,,BTLS Hanoi 21175,"Hanoi : B 2, 33",Stèle usée,(A),14 illisibles,,109+/55/45,,,n. 40,,EFEO-est.n0040_4.jpg,,,"BEFEO 15 (2), p. 18.",,,,
202,,,,,Vietnam,Quảng Nam,,,,BTLS Hanoi 21175,"Hanoi : B 2, 33",Stèle usée,(B),8 presqu'entièrement illisibles,,109+/55/45,,,n. 40,,EFEO-est.n0040_3.jpg,,,"BEFEO 15 (2), p. 18.",,,,
202,,,,,Vietnam,Quảng Nam,,,,BTLS Hanoi 21175,"Hanoi : B 2, 33",Stèle usée,(C) ,ca. 12 illisibles,,109+/55/45,,,n. 40,,EFEO-est.n0040_1.jpg,,,"BEFEO 15 (2), p. 18.",,,,
202,,,,,Vietnam,Quảng Nam,,,,BTLS Hanoi 21175,"Hanoi : B 2, 33",Stèle usée,(D),entièrement effacée ou jamais gravée,,109+/55/45,,,n. 40,,EFEO-est.n0040_2.jpg,,,"BEFEO 15 (2), p. 18.",,,,
203,,,,,Vietnam,Quảng Nam,,,,BTLS Hanoi 42278,"Hanoi : B 2, 34",Linteau,,8,ch.,,,,n. 41 ; n. 161,,,,,"BEFEO 15 (2), 18.",informations prises du tableau Estampages  EFEO encrés,,,
204,,,,,Vietnam,Quảng Nam,Duy Xuyên,canton An-li,An thanh,,,11 graffiti,,,,,,,n. 1088,,,,,,d'où proviennent les infos sur la provenance?,,,
205,,,,,Vietnam,Quảng Nam,,,Đồng Dương (?),"1999 : collection Vũ Kim Lộc, Hồ Chí Minh-Ville. — 2009 : inconnue.",,aiguière (kalaśa) en argent,,1,sk.,,"IXe (""saka)",,,,photos VKL,,"BEFEO 86, 348",,qu'est-ce qu'on retient pour la provenance?,,,
206,,,,,Vietnam,Quảng Nam,,,Đồng Dương (?),"1999 : collection Vũ Kim Lộc, Hồ Chí Minh-Ville. — 2009 : inconnue.",,encensoir (dhūpādhāra) en argent,,1,sk.,,"IXe (""saka)",,,,photos VKL,,"BEFEO 86, 349",,qu'est-ce qu'on retient pour la provenance?,,,
207,,,,,Vietnam,Quảng Nam,Đại Lộc,,,"1999 : collection Vũ Kim Lộc, Hồ Chí Minh-Ville. — 2009 : inconnue.",,plat (bhājana) en argent,,1,sk.,,"IXe (""saka)",,,,photos VKL,,"BEFEO 86, 349",,qu'est-ce qu'on retient pour la provenance?,,,
208,,,,,Vietnam,,,,,BTLS HCMV 24202,,encensoir (asaṅ) en bronze,,1,ch.,,1052,,,,C0208_1_VKL_2009.JPG; C0208_2_VKL_2009.JPG; C0208_3_VKL_2009.JPG; C0208_4_VKL_2009.JPG; C0208_5_VKL_2009.JPG; C0208_6_VKL_2009.JPG; C0208_7_VKL_2009.JPG,,,,a paraitre dans la premiere chronique CIC,,,
209,,,,,Vietnam,,,,,"Anciennement : collection Vũ Kim Lộc, Hồ Chí Minh-Ville. — 2009 : inconnue. ",,fragment de liṅgakośa,,1,ch.,,1011,,,,,,,,photo/powerpoint fournis par AVS,,,
210,,,,Promontoire dit Hòn Đỏ ,Vietnam,Ninh Thuận,Ninh Haỉ,Thanh Haỉ,Mỷ Hiêp,In situ,,pilier (jayastambha),A,8,sk.,,972,,,,n. 1878,,,"BEFEO 50 (1962), p. 559 —Trésors d'art du Vietnam / la Sculpture du Champa Ve-Xve siècle, p. 42 fig. 6","the information recorded here is taken from from an email to A. Griffiths from A.V. Schweyer of 8 sept. 2008. Cf. also A. Hardy et al. 2003, p. 295 (with photograph: « Hòn Đỏ stele, Mỹ Tâm village, Nhơ Hải commune, Nhơ Hải  district, Ninh Thuân. Sandstone ») ; they add: discovered in 2003. Schweyer notes: « c'est faux. C'est une re-découverte. » For another photograph, see Schweyer's article on epigraphie in the Musée Guimet Champa catalogue. Note disagreement concerning adminstrative units. To be checked.",,,
210,,,,Promontoire dit Hòn Đỏ ,Vietnam,Ninh Thuận,Ninh Haỉ,Thanh Haỉ,Mỷ Hiêp,In situ,,pilier (jayastambha),B,9,ch.,,972,,,,"n. 1879, n. 1880",,,,,,,
210,,,,Promontoire dit Hòn Đỏ ,Vietnam,Ninh Thuận,Ninh Haỉ,Thanh Haỉ,Mỷ Hiêp,In situ,,pilier (jayastambha),C,10,ch.,,972,,,,n. 1881,,,,,,,
210,,,,Promontoire dit Hòn Đỏ ,Vietnam,Ninh Thuận,Ninh Haỉ,Thanh Haỉ,Mỷ Hiêp,In situ,,pilier (jayastambha),D,10,ch.,,972,,,,n. 1882,,,,,,,
211,,,,,Vietnam,TP. Ðà Nẵng,,,Khuê Trung,Đà Nằng : ĐN 183,,Stèle,A,12,sk.,78+/45/35,820,,,,,,,,,,,
211,,,,,Vietnam,TP. Ðà Nẵng,,,Khuê Trung,Đà Nằng : ĐN 183,,Stèle,B,15,sk.,78+/45/35,820,,,,,,,,,,,
211,,,,,Vietnam,TP. Ðà Nẵng,,,Khuê Trung,Đà Nằng : ĐN 183,,Stèle,c,14,ch.,78+/45/35,820,,,,,,,,,,,
211,,,,,Vietnam,TP. Ðà Nẵng,,,Khuê Trung,Đà Nằng : ĐN 183,,Stèle,d,10,ch.,78+/45/35,820,,,,,,,,,,,
212,,,,site Bình Chánh ; near the mouth of the Trà Bồng river and today’s oil refinery complex at Dung Quất,Vietnam,Quảng Ngãi,Bình Sơn,Bình Chánh,,Bảo Tàng tỉnh Quảng Ngãi,,jarre,,1,ch.,,XIIe-XIIIe,,n. 2328 et n. 2329,,,,"BEFEO 95-96, 445 n. 22.","Gốm cổ Champa Bình Định (2008), p. 48/54 des illustrations (pages non-numérotées).","Information sur la provenance reçue de WS, qui a vu l'objet en 2000.",,,
213,,,,,Vietnam,Bình Định,Thành Phố Quy Nhơn,,Tháp đôi,"Bảo Tàng Tòng Hợp Bình Ðịnh, BÐ 645/Ð.50.",,Piédroit,A,22,ch.,,1154,,n. 2066-2068,,,,,"Tập ảnh sưu hiện vật lịch sử văn hóa Bình Định (2004), 56 (n° 104)",Estampage offert par le musée de Binh Dinh.,,,
213,,,,,Vietnam,Bình Định,Thành Phố Quy Nhơn,,Tháp đôi,"Bảo Tàng Tòng Hợp Bình Ðịnh, BÐ 645/Ð.50.",,Piédroit,B,23,ch.,,1154 (?),,n. 2066-2068,,,,,"Tập ảnh sưu hiện vật lịch sử văn hóa Bình Định (2004), 56 (n° 104)",Estampage offert par le musée de Binh Dinh.,,,
213,,,,,Vietnam,Bình Định,Thành Phố Quy Nhơn,,Tháp đôi,"Bảo Tàng Tòng Hợp Bình Ðịnh, BÐ 645/Ð.50.",,Piédroit,C,24,ch.,,1154 (?),,n. 2066-2068,,,,,"Tập ảnh sưu hiện vật lịch sử văn hóa Bình Định (2004), 56 (n° 104)",Estampage offert par le musée de Binh Dinh.,,,
214,,,,,Vietnam,Bình Định,Thành Phố Quy Nhơn,"village (làng) Hải Giang, Nhơn Hải peninsula",colline (núi) Phương Mai,Pagode (Chùa) Phật Lồi,,dos d'une statue,,12,ch.,,,,n. 2069,,,,,"Griffiths, Campa Volume","Selon AVS, un est. de cette inscription se trouve dans le Musée Guimet. A confirmer.",,,
215,,,Stèle de l'église à Trà Kiệu ,,Vietnam,Quảng Nam ,Duy Xuyên ,Duy Trinh,  ,Musée/Presbytère de l'église à Trà Kiệu,,dos d'une statue,,invoc. + 7,ch.,"34/46,5/20,5",XIVe,,,,,,,"Trần Kỳ Phương & Nguyễn Văn Phúc 1991: 220. — Schweyer 2003: 18; Schweyer 2008: 228, figures 8 & 9. — Griffiths, Campa Volume.",Site Gò Chùa Vua (ou Gò Lồi) dans la vallée Chiêm Sơn Tây. Voir fiche préparé par William Southworth pour détails des réfs. — Possibilité de joindre sous C. 215?,,,
216,,,Inscription de Hoà Lai,,Vietnam,Ninh Thuận,Thuận Bắc,Bắc Phong,Ba Tháp ,BTNT 1444/Đ.25,,Stèle,A2,1,sk.,92/60/13,VIIIe śaka,,n. 1900,,,,JA,,,,,
216,,,Inscription de Hoà Lai,,Vietnam,Ninh Thuận,Thuận Bắc,Bắc Phong,Ba Tháp ,BTNT 1444/Đ.25,,Stèle,b,3,sk.,92/60/13,VIIIe śaka,,"n. 1900, 1901",,,,JA,,,,,
216,,,Inscription de Hoà Lai,,Vietnam,Ninh Thuận,Thuận Bắc,Bắc Phong,Ba Tháp ,BTNT 1444/Đ.25,,Socle,d,2 sur deux faces,sk.,"25,5/69/46",760,,"n. 1903, 1904",,,,JA,,,,,
216,,,Inscription de Hoà Lai,,Vietnam,Ninh Thuận,Thuận Bắc,Bắc Phong,Ba Tháp ,BTNT 1444/Đ.25,,Stèle,A1,invoc. + 19 ,sk.,92/60/13,700,,n. 1900,,,,JA,,,,,
216,,,Inscription de Hoà Lai,,Vietnam,Ninh Thuận,Thuận Bắc,Bắc Phong,Ba Tháp ,BTNT 1444/Đ.25,,Stèle,C,15,sk.,92/60/13,700,,n. 1902,,,,JA,,,,,
217,,,Inscription de Phươc Thiện,,Vietnam,Ninh Thuận,Ninh Phước,Phước Sơn,Phươc Thiện,BTNT 1440/Đ.13,,Stèle,A,invoc. + 12,sk.,"78,5/44.5/12",705,,n. 1883,,,,"JA 295 (2007), p. 349-381",rapport fouilles vietnamiennes,,,,
217,,,Inscription de Phươc Thiện,,Vietnam,Ninh Thuận,Ninh Phước,Phước Sơn,Phươc Thiện,BTNT 1440/Đ.13,,Stèle,B,12,sk.,"78,5/44.5/12",705,,n. 1884,,,,"JA 295 (2007), p. 349-381",rapport fouilles vietnamiennes,,,,
218,,,Ancien piédroit de Mỹ Hải ,,Vietnam,Ninh Thuận,,Mỹ Hải,,BTNT 1649/Đ.27(1),,Piédroit (converti en linteau),1,35,ch.,30/210/37,XIe,,"n. ****, n. ****",,,,,,,,,
218,,,Linteau (ancient piédroit) de Mỹ Hải ,,Vietnam,Ninh Thuận,,Mỹ Hải,,BTNT 1649/Đ.27(1),,Linteau (ancien piédroit),2,5,ch.,30/210/37,XIIe,,n. 1945,,,,,,,,,
219,,,Piédroit de Mỹ Hải ,,Vietnam,Ninh Thuận,,Mỹ Hải,,BTNT 1649/Đ.27(2),,Piédroit,ant.,16,ch.,169/33/48,???,,,,,,,,,,,
219,,,Piédroit de Mỹ Hải ,,Vietnam,Ninh Thuận,,Mỹ Hải,,BTNT 1649/Đ.27(2),,Piédroit,lat.,5,ch.,169/33/48,???,,,,,,,,,,,
220,,,,,Vietnam,Ninh Thuận,,,,BTNT (sans no. inv.),,fragment,,1 sur chacune des deux faces,?,"9,5/17,5/5,5",,,n. 1885-1886,,,,,,,,,
221,,,Po Gha 1,Grotte de Po Gha,Vietnam,Ninh Thuận,Thuận Bắc,Bắc Sơn,Xóm Bằng,BTNT 1650/Đ.28(2),,petite stèle,,invoc. + 2,ch.,44h,,,n. 1890,,,,,,,,,
222,,,Po Gha 2,Grotte de Po Gha,Vietnam,Ninh Thuận,Thuận Bắc,Bắc Sơn,Xóm Bằng,BTNT 1650/Đ.28(1),,petite stèle,,invoc. + 3,ch.,surface 21x15,,,n. 1889,,,,,,"Une  face latérale de cette pierre porte, en léger relief, quelques lettres qui paraissent dater d’une époque plus récente que celle de la face frontale.",,,
223,,,Po Gha 3,Grotte de Po Gha,Vietnam,Ninh Thuận,Thuận Bắc,Bắc Sơn,Xóm Bằng,In situ,,petite stèle,,5,ch.,,,,"n. 1887, n. 1888",,,,,,"Une petite face latérale montre les chiffres 1169 et 11(6/7)0, qui semblent des essais de plume.",,,
224,,,Po Klaong Girai,,,Ninh Thuận,,,,,,Stèle,,invoc.,,,,,,,,,,,Cf. C. 128,,,
225,,,Inscription de Hoà Diêm,,,Khánh Hoà,Cam Ranh (thị xã),Cam Thịnh  Đông,Hoà Diêm ,BTKH  (sans no. inv.),,Stèle brute,,11,ch.,,XIIIe-XIVe (śaka),,n. 1892-1893,,,,,Nguyễn Công Bằng 1998,"les divisions administratives ont une structure anormale (hameau, xa, thi xa)",,,
226,,,,,Vietnam,,,,,Đà Nằng : BTC (sans no. d'inv.),,Fragment de cuve à ablution,,2,ch.,,IXe,,n. 2111,,,,,,Fait partie du lot de fragments offerts au musée en 2011 par Lâm Dũ Xênh.,,,
227,,,,,Vietnam,Quảng Nam,Phú Ninh,Tam An,An Mỹ,Đà Nằng : ĐN 1115,,Fragment de stèle ou de piédroit,A,8,ch.,44/30/20,,ca. 1000?,n. 2077,,,,,,découvert en 1982,,,
227,,,,,Vietnam,Quảng Nam,Phú Ninh,Tam An,An Mỹ,Đà Nằng : ĐN 1115,,Fragment de stèle ou de piédroit,B,12,ch.,44/30/20,,ca. 1000?,n. 2078,,,,,,découvert en 1982,,,
228,,,,,Vietnam,Quảng Nam,Phú Ninh,Tam An,An Mỹ,Đà Nằng : ĐN 109,,Fragment de piédroit,,,,51/35/30,,,,,,,,,The object is wrongly marked 209 on the stone.,,,
228,,,,,Vietnam,Quảng Nam,Phú Ninh,Tam An,An Mỹ,Đà Nằng : ĐN 109,,Fragment de piédroit,,,,51/35/30,,,,,,,,,ditto,,,
228,,,,,Vietnam,Quảng Nam,Phú Ninh,Tam An,An Mỹ,Đà Nằng : ĐN 109,,Fragment de piédroit,,,,51/35/30,,,,,,,,,ditto,,,
229,,,,,Vietnam,Quảng Nam,Phú Ninh,Tam An,An Mỹ 1,Jardin de M. Cao Văn Quảng,,Fragment usé inscrit sur trois faces,,"2, 4-5 et 8",,33/38/34,,,,,,,,,"provient du site de An Mỹ, comme BTDN 1115, qui montre aussi même type paléographique; ce fragment trouvé ca. 2005.",,,
230,,,,,Vietnam,,,,,Đà Nằng : BTC 06/1-14,,12 éléments de bas-relief,12 signes,,-,,VIIe,,,,,,ECIC III; cat. Da Nang,,simple lettres indiquant la position des éléments par leur ordre alphabétique,,,
231,,,,,Vietnam,?,?,?,?,BTLS Hanoi sans no. d'inventaire,néant,Fragment de stèle (?) découpée en deux tranches,A,7,ch. (?),"14,5/45/9,5",,,n. 1849,,,,,,surtout la face ici appelée A est très effacée,,,
231,,,,,Vietnam,?,?,?,?,BTLS Hanoi sans no. d'inventaire,néant,Fragment de stèle (?) découpée en deux tranches,B,1,ch. (?),"14,5/45/9,5",,,n. 1850,,,,,,surtout la face ici appelée A est très effacée,,,
232,,,,,Vietnam,Quảng Nam,,,Chiên Đàng,BTQN 7178 / Đ.198,,Fragment,,3,sk.?,23/21/5,XIIe (?),,,,,,,,"donner coordonées administratives actuels, Chien Dang n'étant pas effectivement un Thon? Même écriture que le fragment suivant.",,,
233,,,,,Vietnam,Quảng Nam,,,Chiên Đàng,BTQN 7180 / Đ.200,,Fragment,,1 à 2,sk.?,"13/15/4,5",XIIe (?),,,,,,,,"donner coordonées administratives actuels, Chien Dang n'étant pas effectivement un Thon? Même écriture que le fragment précédant.",,,
*234,,,,,Vietnam,Thừa Thiên Huế,Phú Vang,,,M. Nguyển Bá Lân à Đà Nẵng — 2017: to be acquired by Hue Royal Fine Art Museum,,barre de pierre,,3,ch.,,,VIIe,n. 2091,,,,,,,,,
*235 (BTC6),,,,,Vietnam,,,,,"Đà Nằng : 30, 172 (ou 173?)",,Makara en terre cuite,gauche,1,ch.?,57/45/12,,,,,,,,,provient de My Son,,,
*236,,,,,Vietnam,Quảng Nam,,,Đồng Dương,"Đà Nằng : BTC 158 = 22,24a",,Composant d'autel,deux signes,,,,,IX-Xe,,,,,"BEFEO 95-96, 451. — Đà Nằng Catalog, 281-282. ",,,,,
*237,,,,,Vietnam,Gia Lai,Đak Pơ,Tân An,Tư Lương,in situ,,rocher taillé en stèle,A,8,ch.,160/180/140,1360,,n. 2404,,,,,Trần Kỳ Phương et al. 2015: 439,"peut-être l'inscription mentionnée par J.-Y. Claeys, chronique du BEFEO 1928, p. 606; près du col de Ankhe; info via Truong Giang, de M. Tue de Gia Lai Department of Culture, avec photos",,,
*237,,,,,Vietnam,Gia Lai,Đak Pơ,Tân An,Tư Lương,in situ,,rocher taillé en stèle,B,3,ch.,160/180/140,1360,,n. 2405,,,,,Trần Kỳ Phương et al. 2015: 439,"peut-être l'inscription mentionnée par J.-Y. Claeys, chronique du BEFEO 1928, p. 606; près du col de Ankhe; info via Truong Giang, de M. Tue de Gia Lai Department of Culture, avec photos",,,
*238,,,,"galerie Sud, aile Est",Cambodge,Siem Reap,,,Angkor Vat,in situ,,pilier,,6,ch. (et kh.),,"2425 EB, 1881 EC",1881,n. ????,,,,Weber 2014: 254-255,,,,,
*239,,,,"gopura Est de l’enceinte intérieure, pilastre nord-est du porche",Cambodge,Siem Reap,,,Takeo,in situ,,pilastre,,2,ch.,,,moderne,n. 307,,,,Weber 2014: 257-258,,Identifiée de façon erronnée comme C. 2 dans la publication de Weber.,,,
*240,,,,,Vietnam,Gia Lai,Krông Pa,,,BTGL 123/Đ.03,,stela,,4,sk.,60/41/12,,VIIe-VIIIe,n. 2406,,,,Hà Văn Tấn 2001,Nguyễn Thị Kim Vân 2000,ye dharmāḥ,,,
*241,,,,,Vietnam,Gia Lai,Krông Pa,,,BTGL 736/Đ.04,,stela,,7 ou 8,sk.,35/28/10,,VIIe-VIIIe,n. 2407,,,,Hà Văn Tấn 2001,Nguyễn Thị Kim Vân 2000,ye dharmāḥ,,,
*242,,,,,Vietnam,Phú Yên,Tuy Hòa,Hoà Phong,Mỹ Thạnh,Office cultural committee Tuy Hoa Dt. CHECK,,Stèle,,,,,,,,,,,"Skilling, Southworth & Trần Kỳ Phương 2010.",,à compléter,,,
*243,,,,,Vietnam,Phú Yên,Tuy Hòa,,Chùa Hồ Sỏn,,,Tablette terrecuite moulée,,7+,,,IX (?),,,,,,"Skilling, BEFEO 2003–04: 285-287, n° 1","Skilling, Southworth & TKP 2010: 489",ye dharmāḥ,,,
*244,,,,,Vietnam,Phú Yên,Tuy Hòa,,Chùa Hồ Sỏn,,,Tablette terrecuite moulée,,4+,,,IX (?),,,,,,"Skilling, BEFEO 2003–04: 285-287, n° 2","Skilling, Southworth & TKP 2010: 489",ye dharmāḥ,,,
*245,,,,BTPY2,Vietnam,Phú Yên,Sông Cầu (town),Xuân Cảnh,"Mò-o, hamlet Hòa Thạnh",Bảo Tàng tỉnh Phú Yên 2372,,Stèle brute,A,9,ch.,170x70x?,974,,,,,,,,"documents sent by TKP, Alex Giang and TP",,,
*246,,,,PoDam,Vietnam,Bình Thuận,Tuy Phong,,,Po Dam,,,,2,,,,,,,,,,,photos Thanh Phan,,,
*247,,,,,Vietnam,,,,,"Hong Kong, collection Mandeville (acquise en septembre 2016)",,encensoir,,,ch.,,1013,,,,,,,,Photos Mandeville,,,
*248,,,,,Vietnam,Quảng Nam,,,,My Son 03MSE0862/Đ.748,,cuve à ablutions,,1,sk.,,VII,,n. 2081,,,,,BEFEO 106,mukha,,,
*249,,,,,Vietnam,Quảng Nam,,,,My Son 03MSE0863/Đ.749,,cuve à ablutions,,1,sk.,,VII,,n. 2082,,,,,BEFEO 106,mukha,,,
*250,,,,,Vietnam,Quảng Nam,,,,My Son 03MSE0867/Đ.753,,cuve à ablutions,,1,sk.,,VII,,n. 2083,,,,,BEFEO 106,mukha,,,
*251,,,,,Vietnam,Quảng Nam,,,,My Son 03MSE0864/Đ.750,,cuve à ablutions,,1,sk.,,VII,,n. 2084,,,,,BEFEO 106,Agnīya,,,
*252,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Thọ,Niêm Phò (láng),Bảo tàng Văn hóa Huế: 684/Đ.29,,stèle,,,"sk., cam",82/47/22,,,"n. 2373, 2374, 2375, 2376",,,,,Nguyễn Văn Quảng 2012: 65.,découvert en 1989 dans ou près d'un temple nommé Miều Ét,,,
*KhuongMy,,,,,Vietnam,Quảng Nam,,,,"Khương Mỹ, Tour sud",,bas-reliefs du Rāmāyaṇa,,,ch.,,IX-XI,,n. 2092-2098,,,,"ECIC IX, 31-32","ICDN, 239.",,,,
*KhuongMy,,,,,Vietnam,Quảng Nam,,,,Khương Mỹ,,fragment,,3,ch.,,XI,,,,,,"ECIC IX, 37",,photo d'est. labellisé 07.KM.N.T.74 communiqué par TKP,,,
*KhuongMy,,,,,Vietnam,Quảng Nam,,,,Khương Mỹ,,fragment,,3,"ch,",,XI,,,,,,"ECIC IX, 37",,photo d'est. labellisé 07.KM.N.T.113 communiqué par TKP,,,
*BTTL,,,,,Vietnam,,,,,Bao Tang Thăng Long A13.VL017 ,,brique,A,4,ch.,"14,3/12,9",,XI-XII,,,,,,,Photos communiquées par Olivier Tessier et Quang Van Son.,,,
*BTTL,,,,,Vietnam,,,,,Bao Tang Thăng Long A13.VL017 ,,brique,B,2,ch.,"14,3/12,9",,XI-XII,,,,,,,Photos communiquées par Olivier Tessier et Quang Van Son.,,,
*QNgai1,,,,,Vietnam,Quảng Ngãi,,,Chánh Lộ,"Bảo Tàng tỉnh Quảng Ngãi, sans no. d'inv.",,Fragment  de grande pierre,,3,,,,,n. 2326,,,,,,"Photos Adam Bray; cf. other fragment from Chan Lo, C. 62",,,
*QNgai2,,,,,Vietnam,Quảng Ngãi,,,Chánh Lộ,"Bảo Tàng tỉnh Quảng Ngãi, CH13/CL91",,Fragment de grande stèle,A,9,,,,,n. 2327,,,,,,Photos Adam Bray; TKP,,,
*QNgai2,,,,,Vietnam,Quảng Ngãi,,,Chánh Lộ,"Bảo Tàng tỉnh Quảng Ngãi, CH13/CL91",,Fragment de grande stèle,B,9,,,,,n. 2327,,,,,,Photos Adam Bray; TKP,,,
*QNgai3,,,,,Vietnam,Quảng Ngãi,,,,,,,,,,,,,,,,,,,Recovered from shipwreck; photos sent by Alex Giang,,,
*QT1,,,,,Vietnam,Quảng Trị,Gio Linh,Gio Châu,Hà Trung (làng),"Bảo Tàng tỉnh Quảng Trị, 1940/Đ.147",,stele réemployée comme seuil ou pierre à aiguiser,,24 (toutes incomplètes),sk.,163/59/16,,,n. 2332,,,,,,,,,
*BTC,,,,,Vietnam,,,,,"BTC, sans no. d'inv.",,fragment,,1,,,,,n. 2076,,,,"ICDN, 283.",,,,,
*QN1,,,,,Vietnam,Quảng Nam,Núi Thành,Tam Xuân,Phú Hưng,BTQN 6985/Đ.160,,élément architectural,,1,,62/38/9,,,,,,,,,Ramenée au Musée par Hoàng Y. Le site de Phú Hưng est près de Khuong My.,,,
*HoiAn,,,,,Vietnam,Quảng Nam,Hội An,,,"Nha Trưng Bày Lịch Sử - Văn Hóa Hội An, BTHA 56/ĐA 02 = 19/Đ02",,fragment,,,,,IXe,,,,,,,,,,,
*LBTB,,,,,Vietnam,Quảng Nam,Duy Xuyên,Duy Thu,Thu Bồn Đông,In situ,,Stèle effacée,lat.,4,,,,,n. 2080,,,,,,,,,
*Hue1,,,,,Vietnam,Thừa Thiên Huế,Hương Thủy (thì xã),Thủy Thanh,Vân Thê,dans le temple de la famille Chế (Nhà thờ Họ Chế),,linteau,,4,ch.,"16/121/19,5",1265,,n. 2372,,,,,,"Info et photos TP, septembre 2013",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Hue3,,,,,Vietnam,Thừa Thiên Huế,Phú Lộc,Vinh Hiền,Phụ An,Hải Triều (chùa); trouvée dans la lagune à env. 300 m du temple,,stèle retaillée comme statue,A,13,sk.,66/60/21,,875-950,n. 2377,,,,,Nguyễn Văn Quảng & Trần Văn Dũng 2014. — full paper by same authors,,,,
*Hue3,,,,,Vietnam,Thừa Thiên Huế,Phú Lộc,Vinh Hiền,Phụ An,Hải Triều (chùa); trouvée dans la lagune à env. 300 m du temple,,stèle retaillée comme statue,b,?,?,66/60/21,,875-950,,,,,,Nguyễn Văn Quảng & Trần Văn Dũng 2014. — full paper by same authors,,,,
*Hue3,,,,,Vietnam,Thừa Thiên Huế,Phú Lộc,Vinh Hiền,Phụ An,Hải Triều (chùa); trouvée dans la lagune à env. 300 m du temple,,stèle retaillée comme statue,C,restes de 11,?,66/60/21,,875-950,"n. 2377, n. 2379",,,,,Nguyễn Văn Quảng & Trần Văn Dũng 2014. — full paper by same authors,,,,
*Hue3,,,,,Vietnam,Thừa Thiên Huế,Phú Lộc,Vinh Hiền,Phụ An,Hải Triều (chùa); trouvée dans la lagune à env. 300 m du temple,,stèle retaillée comme statue,d,restes de 5,?,66/60/21,,875-950,n. 2378,,,,,Nguyễn Văn Quảng & Trần Văn Dũng 2014. — full paper by same authors,,,,
*Quy Nhon,,,,,,Bình Định,Thành Phố Quy Nhơn,Nhơn Hải,Hải Giang,,,rocher,,,,,,,,,,,,,Photos envoyées par Philippe le Failler; admin. divisions obtained by Tue via Facebook,,,
,,,,,Vietnam,Phú Yên,,,My Long,sur sommet Cam Son,,rupestre,,,,,,,,,,,,"Parmentier, BEFEO 1923, 269",,,,
*dharani1,,,,,,,,,,"Canberra, National Gallery of Australia, 2011.946.2",,feuille d'or,,,,,,,,,,,,,"Mentioned by John Guy, ""Pan-Asian Buddhism and the Bodhisattva Cult in Champa"", Singapore Campa Volume, p. 318.",,,
*dharani2,,,,,,,,,,unknown,,deux feuilles d'or,,,,,,,,,,,,,"Mentioned by John Guy,  ""Pan-Asian Buddhism and the Bodhisattva Cult in Champa"", Singapore Campa Volume, p. 319.",,,
